,Mother_Eductaion,Binned_Revision_Time,Father_Education,Wants_Higher_Education,Age,Past_Class_Failures,Week_Drugs_Consumption,Abscence,Extra_Activities,Internet_Access,Final_grade
0,3,Medium_time,2,yes,16,0,1,8,yes,no,Medium
1,3,Medium_time,2,yes,16,0,1,0,no,yes,Medium
2,3,Medium_time,1,yes,16,0,3,0,yes,yes,Medium
3,3,Medium_time,2,yes,17,2,5,0,yes,no,Medium
4,3,Medium_time,3,yes,17,0,2,0,yes,yes,High
5,1,Medium_time,1,yes,17,2,2,4,no,yes,Medium
6,2,short_time,2,no,19,1,1,5,no,yes,Medium
7,3,Medium_time,4,yes,16,0,2,8,no,yes,Medium
8,2,Medium_time,2,yes,15,1,5,0,yes,yes,Low
9,3,Medium_time,2,no,17,1,5,12,no,yes,Low
10,3,short_time,2,yes,20,1,2,8,yes,yes,Medium
11,4,long_time,4,yes,15,0,1,2,no,yes,Medium
12,4,Medium_time,4,yes,16,0,1,4,yes,yes,Medium
13,1,Medium_time,1,no,19,1,5,3,yes,yes,Low
14,3,long_time,1,yes,19,1,1,2,no,yes,Low
15,3,Medium_time,2,yes,18,0,3,0,no,yes,Medium
16,4,long_time,2,yes,16,0,3,6,yes,yes,Medium
17,3,Medium_time,2,yes,16,0,2,4,no,yes,Low
18,2,Medium_time,3,yes,16,0,3,9,no,yes,Medium
19,3,Medium_time,2,yes,16,0,1,8,no,yes,Low
20,4,long_time,4,yes,15,0,3,2,no,yes,High
21,1,Medium_time,1,no,18,1,5,8,no,yes,Low
22,1,Medium_time,2,yes,20,1,2,13,no,no,Medium
23,4,Medium_time,4,yes,17,0,2,4,yes,yes,Medium
24,4,long_time,4,yes,17,0,3,7,no,yes,Medium
25,1,short_time,2,yes,16,1,4,6,no,yes,Low
26,1,short_time,2,yes,17,0,3,0,no,yes,Medium
27,3,long_time,3,yes,17,0,3,8,no,no,Medium
28,2,Medium_time,1,yes,19,1,2,4,no,yes,Low
29,1,Medium_time,2,yes,16,0,3,7,no,yes,Medium
30,3,Medium_time,1,yes,15,0,2,10,no,yes,Medium
31,3,short_time,2,yes,16,1,1,16,no,yes,Medium
32,4,Medium_time,4,yes,15,0,1,2,yes,yes,Medium
33,2,Medium_time,4,yes,17,0,3,2,no,yes,Medium
34,3,Medium_time,1,no,16,1,5,12,no,no,Medium
35,4,Medium_time,4,yes,16,0,2,4,no,yes,High
36,4,long_time,2,yes,16,0,1,4,yes,yes,Medium
37,1,short_time,1,no,17,3,5,0,no,no,Low
38,2,Medium_time,2,yes,16,0,1,0,yes,yes,Medium
39,1,Medium_time,2,yes,17,3,1,28,yes,yes,Medium
40,0,Medium_time,2,yes,16,0,3,40,yes,yes,Medium
41,4,very_long_time,4,yes,15,0,3,2,yes,yes,Medium
42,3,very_long_time,2,yes,15,0,2,6,no,yes,Low
43,3,Medium_time,1,yes,16,0,2,2,yes,no,Medium
44,2,Medium_time,1,no,15,1,5,8,yes,no,Low
45,3,very_long_time,3,yes,16,0,3,4,yes,no,Medium
46,3,Medium_time,2,yes,18,0,4,0,no,yes,Medium
47,4,Medium_time,3,yes,15,0,3,0,yes,yes,Medium
48,4,Medium_time,4,yes,15,0,1,6,yes,yes,High
49,4,Medium_time,4,yes,16,0,3,0,no,yes,Medium
50,3,Medium_time,2,yes,16,0,4,4,yes,no,Medium
51,3,Medium_time,1,yes,17,1,3,4,no,yes,Low
52,3,Medium_time,2,yes,15,0,2,0,no,yes,High
53,1,Medium_time,1,no,19,3,5,4,yes,yes,Low
54,3,Medium_time,2,yes,16,0,2,4,no,yes,Medium
55,2,very_long_time,2,yes,17,1,4,2,yes,no,High
56,4,Medium_time,4,yes,20,0,1,2,yes,yes,Medium
57,3,Medium_time,2,yes,16,0,2,21,no,yes,Medium
58,3,Medium_time,1,yes,18,0,3,0,yes,yes,Low
59,3,Medium_time,2,yes,15,0,4,2,yes,yes,Medium
60,1,Medium_time,2,yes,17,1,3,4,no,yes,Medium
61,3,Medium_time,3,yes,15,1,5,0,no,yes,Medium
62,1,Medium_time,0,yes,17,0,3,3,yes,yes,Medium
