Unnamed: 0,Mother_Eductaion,Revision_Time,Father_Education,Wants_Higher_Education,Age,Past_Class_Failures,Week_Drugs_Consumption,Abscence,Extra_Activities,Internet_Access,Final_grade
136,2,1,1,yes,16,0,1,4,no,no,Medium
256,4,4,2,yes,17,0,1,6,yes,yes,Medium
350,1,2,1,yes,19,3,3,8,no,yes,Low
60,4,2,4,yes,16,0,3,6,yes,no,Medium
535,1,2,2,yes,15,0,3,11,yes,no,Medium
380,4,2,4,yes,18,0,4,4,yes,yes,High
92,3,2,1,yes,16,0,3,4,no,no,Low
394,3,2,2,yes,17,0,3,0,no,yes,High
334,2,4,2,yes,18,0,1,0,yes,no,Low
119,3,1,4,yes,15,0,2,2,no,yes,Medium
301,4,2,3,yes,18,0,1,2,no,yes,Medium
419,2,1,1,yes,19,0,4,10,no,yes,Medium
606,4,4,2,yes,17,0,1,0,no,yes,High
397,2,2,2,yes,17,0,2,18,no,yes,Medium
239,3,2,1,yes,18,0,1,4,yes,yes,Low
54,3,1,3,yes,15,0,4,0,no,yes,Medium
351,3,2,3,yes,17,0,3,2,no,yes,Medium
357,3,2,2,yes,17,0,2,2,no,no,Medium
262,1,1,4,yes,17,1,1,14,no,yes,Low
275,2,2,2,yes,17,0,3,6,no,yes,Medium
323,3,3,1,yes,17,0,3,1,no,yes,Medium
452,2,2,2,yes,16,0,1,4,no,yes,Medium
316,2,2,4,yes,17,0,1,6,no,yes,High
646,1,2,1,yes,18,0,1,6,yes,no,Medium
110,4,1,4,yes,15,0,1,6,yes,yes,High
132,2,1,1,yes,17,0,2,8,no,yes,Medium
627,1,1,2,no,18,0,3,3,yes,yes,Medium
233,2,3,2,yes,17,0,1,0,yes,yes,Medium
55,2,2,1,yes,16,0,1,2,yes,yes,Medium
3,4,3,2,yes,15,0,1,0,yes,yes,Medium
318,3,3,4,yes,17,0,5,0,yes,yes,Medium
35,2,1,3,yes,15,0,1,4,yes,no,Medium
298,4,4,3,yes,18,0,1,0,no,yes,Medium
342,4,2,3,yes,18,0,2,0,no,yes,Medium
286,2,3,2,yes,18,0,2,5,no,yes,High
148,1,1,1,yes,15,1,1,2,yes,yes,Low
215,3,2,2,yes,17,0,3,2,no,yes,High
104,3,2,4,yes,15,0,1,0,yes,yes,High
272,1,3,1,yes,17,0,1,2,no,yes,Medium
241,2,2,3,yes,17,0,3,0,no,yes,Medium
294,3,3,2,yes,18,0,1,8,yes,yes,Medium
383,2,4,2,yes,18,0,4,0,yes,yes,Medium
