iter	RMSE
0	3.186901991
1	3.162850301
2	3.140012241
3	3.11516858
4	3.094746098
5	3.071990707
6	3.050169226
7	3.027975887
8	3.010987638
9	2.994216807
10	2.972016271
11	2.961227393
12	2.945628185
13	2.930868689
14	2.916685752
15	2.901324223
16	2.887165306
17	2.874175164
18	2.860855266
19	2.852290534
20	2.838580236
21	2.828401683
22	2.815452678
23	2.80592502
24	2.796796436
25	2.785961555
26	2.777657513
27	2.77114534
28	2.762725886
29	2.758048469
30	2.748523559
31	2.738990357
32	2.732167288
33	2.725815903
34	2.718763306
35	2.71294898
36	2.708426689
37	2.699272491
38	2.693051489
39	2.68768363
40	2.682495349
41	2.679811255
42	2.673817004
43	2.667840953
44	2.663380338
45	2.659153599
46	2.653230149
47	2.649383073
48	2.640702289
49	2.636120468
50	2.634851964
51	2.63128285
52	2.627036616
53	2.623761867
54	2.619772646
55	2.618750511
56	2.613805473
57	2.608143235
58	2.604734927
59	2.601545975
60	2.596823629
61	2.593437271
62	2.588465578
63	2.585930353
64	2.582747572
65	2.578151886
66	2.57433566
67	2.571367085
68	2.565314094
69	2.559215128
70	2.556167745
71	2.550843913
72	2.545691019
73	2.539489916
74	2.534608949
75	2.527854999
76	2.522920025
77	2.520298882
78	2.518151238
79	2.513937937
80	2.510773911
81	2.507697028
82	2.50531692
83	2.501718099
84	2.499505916
85	2.498705626
86	2.497226643
87	2.493773669
88	2.488841296
89	2.487133338
90	2.483287741
91	2.483003809
92	2.481180593
93	2.476735349
94	2.474119931
95	2.473013801
96	2.470693105
97	2.470244225
98	2.468398196
99	2.468084916
100	2.4644401
101	2.462614293
102	2.461015492
103	2.458342328
104	2.456217288
105	2.453619349
106	2.45145746
107	2.448199263
108	2.446878096
109	2.446420386
110	2.445792027
111	2.444235673
112	2.440617895
113	2.436664237
114	2.43545325
115	2.432483348
116	2.431481163
117	2.42793312
118	2.427907582
119	2.426263423
120	2.42301413
121	2.42158105
122	2.420502581
123	2.42029887
124	2.418355343
125	2.417043893
126	2.416043178
127	2.413571764
128	2.410795082
129	2.408600368
130	2.408590529
131	2.404949209
132	2.403758395
133	2.401859947
134	2.398204656
135	2.395780687
136	2.395746362
137	2.394469534
138	2.390921271
139	2.389474668
140	2.387470282
141	2.384865449
142	2.384157045
143	2.382925763
144	2.380865096
145	2.378146655
146	2.376678706
147	2.374328069
148	2.37316354
149	2.372479996
150	2.368378274
151	2.367476482
152	2.363991851
153	2.362726285
154	2.360482847
155	2.359482868
156	2.356387067
157	2.349797924
158	2.348134183
159	2.345398604
160	2.343789288
161	2.342670304
162	2.33835966
163	2.337453156
164	2.33698741
165	2.335340241
166	2.329484933
167	2.328670695
168	2.327564233
169	2.326200597
170	2.321898433
171	2.320587938
172	2.318758791
173	2.316926876
174	2.315789342
175	2.314134943
176	2.311274408
177	2.309247139
178	2.305864456
179	2.304980292
180	2.300727888
181	2.297254642
182	2.295661319
183	2.294141583
184	2.292609435
185	2.288163433
186	2.28559636
187	2.284904658
188	2.28393384
189	2.281780545
190	2.279162781
191	2.277344688
192	2.275731706
193	2.273984657
194	2.271179459
195	2.269768964
196	2.267754143
197	2.263571384
198	2.263235073
199	2.259985128
200	2.259362138
201	2.259091358
202	2.25742474
203	2.255984521
204	2.255362269
205	2.252525667
206	2.249148513
207	2.248422979
208	2.246256564
209	2.245440105
210	2.244994559
211	2.242606422
212	2.239629895
213	2.237022226
214	2.2344621
215	2.232230741
216	2.229884012
217	2.229115475
218	2.226852296
219	2.226448956
220	2.22618264
221	2.22464262
222	2.22444733
223	2.224076956
224	2.222318165
225	2.221499593
226	2.221297946
227	2.221070149
228	2.220813629
229	2.220473675
230	2.220065594
231	2.218250814
232	2.217417933
233	2.217143297
234	2.214836116
235	2.214432199
236	2.212778476
237	2.212621288
238	2.212388036
239	2.210323515
240	2.210169358
241	2.208072252
242	2.20559948
243	2.201920687
244	2.201771034
245	2.201099742
246	2.199575318
247	2.199104767
248	2.198549284
249	2.195948763
250	2.195833069
251	2.19551429
252	2.195073498
253	2.194675319
254	2.193611515
255	2.191383226
256	2.189207148
257	2.187228908
258	2.186900278
259	2.18670871
260	2.18653842
261	2.186439599
262	2.184751217
263	2.184630471
264	2.184450263
265	2.184001847
266	2.183195126
267	2.180820015
268	2.18057388
269	2.178203995
270	2.176180264
271	2.176057043
272	2.173789596
273	2.171837028
274	2.169823014
275	2.168977093
276	2.166522191
277	2.166098376
278	2.16592041
279	2.162705807
280	2.162590155
281	2.160277503
282	2.15819394
283	2.156213712
284	2.155396795
285	2.152147471
286	2.149468257
287	2.149212679
288	2.14854431
289	2.146314494
290	2.14450033
291	2.144411033
292	2.144206689
293	2.142909024
294	2.142799563
295	2.141320918
296	2.141266313
297	2.139829405
298	2.137245806
299	2.135228068
300	2.135021348
301	2.133689265
302	2.133475112
303	2.133352964
304	2.131218567
305	2.129484889
306	2.127441987
307	2.125950967
308	2.125637641
309	2.124428177
310	2.121877278
311	2.119685102
312	2.119545369
313	2.118763623
314	2.114716297
315	2.113001741
316	2.111246541
317	2.110257658
318	2.109870549
319	2.108659081
320	2.108028018
321	2.107727533
322	2.10649466
323	2.105444742
324	2.104822925
325	2.104680355
326	2.104501233
327	2.104421074
328	2.101536117
329	2.101436367
330	2.099305664
331	2.098150239
332	2.097801589
333	2.097424298
334	2.097086983
335	2.096106334
336	2.095582343
337	2.093935681
338	2.093270941
339	2.092926577
340	2.091263499
341	2.08891882
342	2.088532359
343	2.086913244
344	2.085286582
345	2.084831147
346	2.084137695
347	2.082749226
348	2.079163981
349	2.078165569
350	2.076244815
351	2.074618116
352	2.07375713
353	2.073685258
354	2.072745448
355	2.071572732
356	2.070267059
357	2.068837138
358	2.068093886
359	2.068027793
360	2.067223177
361	2.066893747
362	2.063666106
363	2.062286625
364	2.062227991
365	2.06170455
366	2.060149849
367	2.059454254
368	2.058534611
369	2.057276828
370	2.05723222
371	2.05625521
372	2.056129623
373	2.054151193
374	2.053098498
375	2.053027276
376	2.051723443
377	2.051692821
378	2.049504869
379	2.049203026
380	2.047486583
381	2.045767828
382	2.042550052
383	2.042005963
384	2.039797992
385	2.039653475
386	2.037223289
387	2.037054456
388	2.034731429
389	2.034040167
390	2.033591375
391	2.030905558
392	2.03085129
393	2.029018275
394	2.02741124
395	2.025445877
396	2.023760143
397	2.023420354
398	2.021467931
399	2.020582319
400	2.019355105
401	2.01700382
402	2.015611114
403	2.01397869
404	2.011885385
405	2.011619764
406	2.010814515
407	2.010027463
408	2.009905527
409	2.009711459
410	2.008814959
411	2.008533822
412	2.007718553
413	2.006642322
414	2.006020977
415	2.005629457
416	2.005607964
417	2.004915456
418	2.002892118
419	2.002771565
420	2.00094171
421	2.000555757
422	1.997830107
423	1.99647436
424	1.996360128
425	1.994815668
426	1.994184005
427	1.994079978
428	1.99242528
429	1.991690119
430	1.991263404
431	1.991195449
432	1.990191158
433	1.989366679
434	1.987278687
435	1.987061449
436	1.986949242
437	1.986887035
438	1.985501758
439	1.983737529
440	1.981637119
441	1.980310462
442	1.979120773
443	1.977416752
444	1.977319494
445	1.976725164
446	1.976487992
447	1.975858444
448	1.975383389
449	1.974728647
450	1.973584968
451	1.97173747
452	1.970669818
453	1.970576852
454	1.970510654
455	1.970270387
456	1.969529492
457	1.96946594
458	1.967581317
459	1.966815422
460	1.964272599
461	1.964233264
462	1.963992784
463	1.963022856
464	1.961748409
465	1.961023825
466	1.960431196
467	1.959934774
468	1.95748214
469	1.955935118
470	1.954953351
471	1.953742414
472	1.95359477
473	1.953516818
474	1.953443007
475	1.953317284
476	1.952281438
477	1.950821
478	1.949448117
479	1.949307727
480	1.947706759
481	1.947063128
482	1.94509205
483	1.9447981
484	1.943410705
485	1.942535226
486	1.942519071
487	1.940008538
488	1.939444967
489	1.9383183
490	1.938023708
491	1.937890818
492	1.93552809
493	1.93507171
494	1.934389042
495	1.933691884
496	1.933512622
497	1.933034424
498	1.93178478
499	1.930161051
500	1.928682541
501	1.927830822
502	1.927073758
503	1.926951015
504	1.926929632
505	1.925566337
506	1.925320662
507	1.925241871
508	1.924404372
509	1.923901965
510	1.92221489
511	1.922099404
512	1.921018499
513	1.920082805
514	1.918989426
515	1.918868795
516	1.917317054
517	1.917267212
518	1.916109225
519	1.915963128
520	1.915085368
521	1.914050227
522	1.912855201
523	1.911544481
524	1.911436245
525	1.910934136
526	1.910276636
527	1.910200801
528	1.908786259
529	1.908592175
530	1.908562763
531	1.907861674
532	1.906157226
533	1.90571689
534	1.904900529
535	1.904466393
536	1.903660213
537	1.902974329
538	1.902926164
539	1.90087333
540	1.899357032
541	1.897698117
542	1.896045084
543	1.894468122
544	1.894441171
545	1.893339408
546	1.893216651
547	1.892849764
548	1.89207294
549	1.890830359
550	1.889364605
551	1.888771954
552	1.888474352
553	1.887760749
554	1.886362337
555	1.884944868
556	1.884537718
557	1.88366265
558	1.882425266
559	1.882415219
560	1.881639021
561	1.881619781
562	1.87924279
563	1.878822509
564	1.876879164
565	1.876754522
566	1.87672851
567	1.875333018
568	1.874201333
569	1.872959347
570	1.872674415
571	1.871418153
572	1.869791873
573	1.869720499
574	1.869459882
575	1.868278765
576	1.867449071
577	1.865686901
578	1.86531988
579	1.864662076
580	1.863509569
581	1.862965571
582	1.862232736
583	1.860838413
584	1.858659331
585	1.857415285
586	1.855661232
587	1.854770098
588	1.853729928
589	1.851627303
590	1.851543907
591	1.850732017
592	1.849927203
593	1.849273766
594	1.849086051
595	1.848555433
596	1.84773458
597	1.84723242
598	1.846926362
599	1.845917473
600	1.84432496
601	1.844083011
602	1.841689993
603	1.840835941
604	1.840651459
605	1.839754399
606	1.838859863
607	1.838125144
608	1.837659638
609	1.836114464
610	1.834045923
611	1.833557859
612	1.83327051
613	1.831982156
614	1.831344013
615	1.831050733
616	1.829369275
617	1.829197686
618	1.828661872
619	1.827524242
620	1.827283962
621	1.825869396
622	1.825169063
623	1.824245364
624	1.823981665
625	1.823014015
626	1.821675927
627	1.820911357
628	1.819737157
629	1.818992847
630	1.818935813
631	1.818022989
632	1.81549421
633	1.814173537
634	1.813669845
635	1.812817259
636	1.812426262
637	1.811448969
638	1.811220264
639	1.809374797
640	1.809229962
641	1.809211546
642	1.808916361
643	1.807988576
644	1.807898353
645	1.807678652
646	1.807185526
647	1.80695793
648	1.806644594
649	1.806553861
650	1.806479628
651	1.805965276
652	1.805857732
653	1.804508269
654	1.804292123
655	1.803574181
656	1.802761735
657	1.80274967
658	1.801855834
