iter	Passed	Remaining
0	73	73011
1	73	36658
2	73	24549
3	74	18506
4	74	14858
5	75	12437
6	75	10706
7	75	9409
8	76	8405
9	76	7603
10	77	6940
11	77	6373
12	77	5902
13	78	5499
14	78	5145
15	78	4840
16	79	4570
17	79	4331
18	79	4120
19	80	3923
20	80	3751
21	80	3595
22	81	3454
23	81	3323
24	82	3206
25	82	3095
26	83	2991
27	83	2894
28	83	2805
29	84	2720
30	84	2641
31	84	2566
32	85	2496
33	85	2429
34	85	2369
35	86	2311
36	86	2253
37	86	2202
38	87	2154
39	87	2109
40	88	2066
41	88	2021
42	89	1981
43	89	1941
44	89	1903
45	90	1867
46	90	1832
47	90	1799
48	91	1767
49	91	1737
50	91	1704
51	92	1677
52	92	1651
53	93	1638
54	94	1615
55	94	1588
56	94	1566
57	95	1544
58	95	1523
59	95	1501
60	96	1482
61	96	1462
62	97	1442
63	97	1423
64	97	1405
65	98	1388
66	98	1372
67	98	1356
68	99	1341
69	99	1326
70	100	1311
71	100	1297
72	101	1283
73	101	1269
74	101	1255
75	102	1241
76	102	1228
77	102	1215
78	103	1202
79	103	1189
80	103	1177
81	104	1166
82	104	1155
83	105	1145
84	105	1135
85	105	1124
86	106	1115
87	106	1106
88	107	1097
89	107	1088
90	108	1079
91	108	1068
92	108	1059
93	108	1050
94	109	1041
95	109	1032
96	109	1023
97	110	1014
98	110	1006
99	110	997
100	111	990
101	111	983
102	112	976
103	112	968
104	112	961
105	113	955
106	113	948
107	114	941
108	114	935
109	114	928
110	115	922
111	115	915
112	115	909
113	116	902
114	116	896
115	116	891
116	117	885
117	117	881
118	118	874
119	118	869
120	119	864
121	119	859
122	119	854
123	120	847
124	120	842
125	120	837
126	121	832
127	121	827
128	121	822
129	122	817
130	122	810
131	122	806
132	123	802
133	123	798
134	123	794
135	124	790
136	124	784
137	124	780
138	125	776
139	125	772
140	126	768
141	126	763
142	126	759
143	127	755
144	127	751
145	127	747
146	128	743
147	128	740
148	128	736
149	129	732
150	129	728
151	130	726
152	130	722
153	131	719
154	131	716
155	131	713
156	132	710
157	132	707
158	133	704
159	133	700
160	133	697
161	134	694
162	134	691
163	134	688
164	135	685
165	135	682
166	136	679
167	136	676
168	137	673
169	137	671
170	137	668
171	138	665
172	138	663
173	139	660
174	139	657
175	139	655
176	140	652
177	140	649
178	140	646
179	141	643
180	141	641
181	142	638
182	142	636
183	143	634
184	143	632
185	143	629
186	144	627
187	144	624
188	145	622
189	145	620
190	145	617
191	146	615
192	146	612
193	146	610
194	147	607
195	147	605
196	148	603
197	148	601
198	148	599
199	149	597
200	149	595
201	150	593
202	150	591
203	150	588
204	151	586
205	151	584
206	151	581
207	152	579
208	152	577
209	152	575
210	153	573
211	153	570
212	153	568
213	154	566
214	154	565
215	155	563
216	155	561
217	156	559
218	156	558
219	156	556
220	157	554
221	157	552
222	157	550
223	158	548
224	158	546
225	159	544
226	159	542
227	159	540
228	160	538
229	160	537
230	160	535
231	161	534
232	161	532
233	162	530
234	162	529
235	162	527
236	163	525
237	163	523
238	163	521
239	164	520
240	164	518
241	164	516
242	165	514
243	165	512
244	165	511
245	166	509
246	166	507
247	167	506
248	167	504
249	167	503
250	168	501
251	168	500
252	168	498
253	169	497
254	169	495
255	170	494
256	170	493
257	170	491
258	171	490
259	171	488
260	172	487
261	172	486
262	172	484
263	173	483
264	173	481
265	174	480
266	174	479
267	174	477
268	175	476
269	175	474
270	176	473
271	176	471
272	176	470
273	177	468
274	177	467
275	177	466
276	178	464
277	178	463
278	178	462
279	179	460
280	179	459
281	180	458
282	180	457
283	180	455
284	181	454
285	181	453
286	181	451
287	182	450
288	182	449
289	182	447
290	183	446
291	183	445
292	183	443
293	184	442
294	184	441
295	185	440
296	185	439
297	185	437
298	186	436
299	186	435
300	187	434
301	187	433
302	187	431
303	188	430
304	188	429
305	188	428
306	189	427
307	189	426
308	190	424
309	190	423
310	190	422
311	191	421
312	191	420
313	191	419
314	192	418
315	192	417
316	193	416
317	193	415
318	193	414
319	194	413
320	194	411
321	195	410
322	195	409
323	196	409
324	196	408
325	196	407
326	197	406
327	197	405
328	198	404
329	198	403
330	199	402
331	199	401
332	200	400
333	200	399
334	200	398
335	201	397
336	201	396
337	202	395
338	202	394
339	202	393
340	203	392
341	203	391
342	204	390
343	204	389
344	204	388
345	205	388
346	205	387
347	206	386
348	206	385
349	206	384
350	207	382
351	207	381
352	207	380
353	208	380
354	208	379
355	209	378
356	209	377
357	209	376
358	210	375
359	210	374
360	211	373
361	211	372
362	211	371
